time_s,power_W
499.947469442886,0
500,0
500.052530557114,0
500.105061114228,0
500.205061114228,0
500.305061114228,0
500.405061114228,0
500.505061114228,0
500.605061114228,0
500.705061114228,0
500.805061114228,0
500.905061114228,0
501,0
501.094938885772,0
501.189877771544,0
501.289877771544,0
501.389877771544,0
501.489877771544,0
501.589877771544,0
501.689877771544,0
501.789877771544,0
501.889877771544,0
501.989877771544,0
502,0
502.010122228456,0
502.020244456911,0
502.120244456911,0
502.220244456911,0
502.320244456911,0
502.420244456911,0
502.520244456911,0
502.620244456911,0
502.720244456911,0
502.820244456911,0
502.920244456912,0
503,0
503.000000000004,6.492094432474e-08
503.011324233153,202.084715523929
503.022648466303,404.169434690776
503.033972699453,606.254161273303
503.045296932602,808.338898979349
503.086882596162,1550.44916493515
503.128468259721,2292.55981452276
503.17005392328,3034.67103136448
503.27005392328,4819.21064894329
503.37005392328,6603.75716169302
503.47005392328,8388.31312287072
503.57005392328,10172.8810857335
503.67005392328,11957.4636035384
503.77005392328,13742.0632295424
503.87005392328,15526.6825170028
503.97005392328,17311.3240191766
504,17845.7588356583
504.02994607672,18380.1959418182
504.05989215344,18914.6354062229
504.089838230159,19449.0772974393
504.119784306879,19983.5216840344
504.219784306879,21768.229812954
504.319784306879,23552.9690861026
504.419784306879,25337.7420567375
504.519784306879,27122.5512781158
504.619784306879,28907.3993034942
504.719784306879,30692.2886861301
504.819784306879,32477.2219792806
504.919784306879,34262.2017362026
505,35694.070928392
505.080215693121,37125.9729787401
505.160431386241,38557.9092051166
505.240647079362,39989.8809253915
505.320862772483,41421.889457435
505.420862772483,43207.1404847632
505.520862772483,44992.4533229416
505.620862772483,46777.8305252268
505.720862772483,48563.2746448765
505.820862772483,50348.7882351473
505.920862772483,52134.3738492962
506,53547.4895352763
506.079137227517,54960.6531921115
506.158274455035,56373.8660852287
506.237411682552,57787.1294800548
506.337411682552,59573.0425778304
506.437411682552,61359.0408883056
506.537411682552,63145.1269647384
506.637411682552,64931.3033603849
506.737411682552,66717.5726285023
506.837411682552,68503.9373223485
506.937411682552,70290.3999951797
507,71408.567913386
507.002089098033,51106.9725439828
507.004178196065,51124.7799181194
507.006267294098,51142.5873120957
507.00835639213,51160.3947259184
507.010445490163,51178.2021595478
507.01563131211,51222.4060973255
507.020817134056,51266.6101574862
507.026002956003,51310.8143401398
507.03118877795,51355.018645392
507.038949461388,51421.1714774725
507.046710144825,51487.3245847183
507.054470828262,51553.4779674714
507.062231511699,51619.6316260855
507.085038566084,51814.0452391409
507.107845620468,52008.4612467357
507.130652674853,52202.8796578475
507.230652674853,53055.3568355518
507.330652674853,53907.8811494283
507.430652674853,54760.4533559973
507.530652674853,55613.0742117794
507.630652674853,56465.7444732954
507.730652674853,57318.4648970657
507.830652674853,58171.236239611
507.930652674853,59024.0592574523
508,59615.4999505681
508.000875322324,83337.1145539693
508.001750644649,83352.7593221115
508.002625966973,83368.404099343
508.003501289298,83384.0488857957
508.00520097201,83414.4276332327
508.006900654722,83444.8064151499
508.008600337435,83475.1852315626
508.010300020147,83505.564082416
508.014844535665,83586.7895054184
508.019389051183,83668.0151752684
508.023933566701,83749.2410922378
508.028478082218,83830.4672565409
508.035583385379,83957.4640232635
508.042688688539,84084.4613961092
508.049793991699,84211.4593760112
508.056899294859,84338.4579638638
508.074413545826,84651.5063417967
508.091927796793,84964.5584329836
508.109442047761,85277.6142511445
508.209442047761,87065.1211238705
508.309442047761,88852.752496187
508.409442047761,90640.5109213517
508.509442047761,92428.3989526221
508.609442047761,94216.4191432528
508.709442047761,96004.5740465034
508.809442047761,97792.866215631
508.909442047761,99581.2982038901
509,101200.988363042
509.090557952239,102820.797174284
509.181115904479,104440.726533776
509.271673856718,106060.778337673
509.371673856718,107849.889791645
509.471673856718,109639.155419975
509.571673856718,111428.577775919
509.671673856718,113218.159412733
509.771673856718,115007.902883675
509.871673856718,116797.810742003
509.971673856718,118587.885540971
510,119094.975387901
510.028326143282,119602.078892549
510.056652286564,120109.196112943
510.156652286564,121899.586445824
510.256652286564,123690.150995574
510.356652286564,125480.892315456
510.456652286564,127271.812958727
510.556652286564,129062.915478642
510.656652286564,130854.202428459
510.756652286564,132645.676361438
510.856652286564,134437.33983083
510.956652286564,136229.195389897
511,137005.984126595
511.043347713436,137782.809645134
511.086695426872,138559.67215349
511.130043140308,139336.571859618
511.230043140308,141128.965606319
511.330043140308,142921.560976319
511.430043140308,144714.360522879
511.530043140308,146507.366799256
511.630043140308,148300.582358704
511.730043140308,150094.009754483
511.830043140308,151887.651539851
511.930043140308,153681.510268061
512,154936.567836198
512.069956859692,156191.733699046
512.139913719384,157447.008730755
512.209870579077,158702.393805473
512.309870579077,160497.099808895
512.409870579077,162292.03500639
512.509870579077,164087.201951217
512.609870579077,165882.603196626
512.709870579077,167678.241295881
512.809870579077,169474.118802237
512.909870579077,171270.238268949
513,172889.279773787
513.090129420923,174508.52177404
513.180258841847,176127.966139081
513.27038826277,177747.614738266
513.37038826277,179544.881428607
513.47038826277,181342.404390766
513.57038826277,183140.186177997
513.67038826277,184938.229343558
513.77038826277,186736.536440705
513.87038826277,188535.110022699
513.97038826277,190333.952642786
514,190866.673196435
514.02961173723,191399.417631006
514.05922347446,191932.186012804
514.08883521169,192464.978408089
514.18883521169,194264.417614414
